opponent_name,champ_alistar,champ_bard,champ_blitzcrank,champ_brand,champ_braum,champ_janna,champ_karma,champ_leona,champ_lulu,champ_lux,champ_maokai,champ_morgana,champ_nami,champ_nautilus,champ_pantheon,champ_pyke,champ_rakan,champ_rell,champ_renata,champ_senna,champ_seraphine,champ_sona,champ_soraka,champ_swain,champ_tahmkench,champ_taric,champ_thresh,champ_velkoz,champ_xerath,champ_yuumi,champ_zilean,champ_zyra
alistar,50.0,52.6,49.32,49.47,51.18,54.66,51.9,48.79,52.59,51.26,51.2,50.78,47.45,47.61,44.39,47.73,47.37,47.27,49.75,51.72,52.29,45.52,52.39,58.2,46.02,48.76,46.96,49.7,50.46,47.59,50.84,52.05
amumu,52.05,50.0,51.25,54.44,50.0,46.55,47.98,52.79,46.99,47.54,52.56,50.0,47.3,52.89,54.72,49.38,43.04,50.0,51.93,50.99,47.46,50.0,52.31,41.38,50.0,50.0,47.54,50.0,51.56,44.54,41.57,43.88
anivia,45.32,50.0,53.02,63.08,50.0,50.0,45.6,46.15,47.31,46.08,59.21,50.0,44.57,57.22,50.0,51.34,55.71,50.0,43.71,52.0,50.0,50.0,47.62,50.0,50.0,50.0,44.88,50.0,52.36,50.58,45.56,53.95
bard,47.4,50.0,50.68,52.55,50.85,53.97,49.84,54.75,48.5,50.84,46.89,49.27,49.74,54.0,47.9,52.47,49.55,48.84,49.65,55.09,48.03,57.8,49.56,50.45,46.07,50.0,50.12,49.09,54.7,48.07,54.55,52.4
blitzcrank,50.68,49.32,50.0,48.37,50.88,49.05,45.54,50.48,47.1,46.35,48.7,46.97,46.77,50.49,45.17,46.09,49.22,50.47,45.98,47.76,46.44,47.77,49.1,51.19,45.74,50.0,45.06,45.27,47.51,44.65,50.5,48.57
brand,50.53,47.45,51.63,50.0,45.95,56.28,47.98,47.68,49.77,49.29,51.04,47.9,47.78,52.23,47.39,51.05,42.91,53.28,44.76,48.06,51.27,47.29,49.26,45.37,46.01,44.0,45.17,49.58,51.82,51.09,47.12,50.96
braum,48.82,49.15,49.12,54.05,50.0,43.21,48.27,49.07,54.61,51.42,46.19,47.97,53.85,50.44,51.06,52.32,56.69,54.55,45.64,51.46,53.03,50.0,53.66,46.39,57.29,50.0,44.43,55.56,47.32,47.36,59.03,50.38
galio,55.3,48.08,52.38,50.0,52.94,53.76,51.42,52.39,55.23,54.04,52.7,53.14,52.31,55.06,46.51,55.18,56.86,50.0,57.14,58.9,40.63,49.21,57.43,47.19,56.72,50.0,52.01,64.29,53.01,48.78,53.59,52.25
gragas,54.92,50.0,56.35,50.0,50.0,50.0,52.29,55.44,51.5,53.9,52.31,47.83,54.1,56.25,52.94,54.09,53.66,45.78,49.17,52.9,50.0,50.0,62.03,50.0,50.0,50.0,53.1,50.0,49.77,52.26,45.0,67.19
janna,45.34,46.03,50.95,43.72,56.79,50.0,49.72,48.18,47.43,49.06,51.8,47.15,47.23,49.2,50.99,52.37,47.04,45.99,46.65,51.98,48.77,51.94,49.86,48.84,54.1,40.0,48.46,53.04,48.56,46.97,46.91,50.0
karma,48.1,50.16,54.46,52.02,51.73,50.28,50.0,50.98,50.37,49.67,55.18,48.09,51.59,55.57,49.77,52.74,49.46,52.9,47.43,52.22,49.41,53.54,52.22,48.82,50.85,50.78,48.92,51.8,51.97,52.0,49.91,53.29
leona,51.21,45.25,49.52,52.32,50.93,51.82,49.02,50.0,48.84,48.76,50.07,52.6,47.25,49.88,45.31,48.47,50.93,49.61,48.1,49.27,45.72,53.02,49.98,51.49,48.64,46.48,48.05,49.43,49.88,45.18,53.45,52.57
lulu,47.41,51.5,52.9,50.23,45.39,52.57,49.63,51.16,50.0,50.35,50.51,48.19,50.65,52.4,46.95,49.25,46.95,51.87,49.65,51.77,50.49,53.03,52.75,47.06,51.29,46.56,47.56,52.46,50.39,48.74,50.67,54.5
lux,48.74,49.16,53.65,50.71,48.58,50.94,50.33,51.24,49.65,50.0,49.66,48.06,49.41,53.59,50.75,52.01,48.76,48.44,45.12,49.37,44.39,49.74,50.45,48.5,50.26,50.19,48.36,52.5,53.37,49.02,52.01,52.14
maokai,48.8,53.11,51.3,48.96,53.81,48.2,44.82,49.93,49.49,50.34,50.0,47.63,45.99,50.61,42.86,44.22,41.76,54.7,46.51,46.65,45.64,52.86,48.12,50.95,47.14,46.25,47.74,48.48,50.16,46.66,46.44,49.66
morgana,49.22,50.73,53.03,52.1,52.03,52.85,51.89,47.4,51.81,51.94,52.37,50.0,51.25,51.46,48.5,50.38,49.15,50.82,48.43,51.86,50.34,53.56,52.7,48.6,51.26,57.02,46.49,49.21,53.19,51.81,54.69,57.8
